,filename,name,query,related,targetCompany
0,11_88_0_solutions_ag,11 88 0 Solutions AG,11 88 0 Solutions AG product,0,亞提爾_仲介服務_廣告代理
1,4imprint_group_plc,4imprint Group plc,4imprint Group plc product,0,亞提爾_仲介服務_廣告代理
2,a_city_media_ab,A City Media AB,A City Media AB product,0,亞提爾_仲介服務_廣告代理
3,ad_pepper_media_international_nv,ad pepper media International N.V.,ad pepper media International N.V. product,0,亞提爾_仲介服務_廣告代理
4,adgorithms_ltd,Adgorithms Ltd,Adgorithms Ltd product,0,亞提爾_仲介服務_廣告代理
5,adl_partner_sa,ADL Partner SA,ADL Partner SA product,0,亞提爾_仲介服務_廣告代理
6,adways_inc,Adways Inc,Adways Inc product,0,亞提爾_仲介服務_廣告代理
7,aimia_inc,Aimia Inc,Aimia Inc product,0,亞提爾_仲介服務_廣告代理
8,airmedia_group_inc_adr,AirMedia Group Inc (ADR),AirMedia Group Inc (ADR) product,0,亞提爾_仲介服務_廣告代理
9,ajis_co_ltd,"AJIS CO., LTD.","AJIS CO., LTD. product",0,亞提爾_仲介服務_廣告代理
10,akamai_technologies_inc,"Akamai Technologies, Inc.","Akamai Technologies, Inc. product",0,亞提爾_仲介服務_廣告代理
11,all_about_inc,All About Inc,All About Inc product,0,亞提爾_仲介服務_廣告代理
12,alliance_data_systems_corporation,Alliance Data Systems Corporation,Alliance Data Systems Corporation product,0,亞提爾_仲介服務_廣告代理
13,altitude_group_plc,Altitude Group PLC,Altitude Group PLC product,0,亞提爾_仲介服務_廣告代理
14,amaru_inc,Amaru Inc.,Amaru Inc. product,0,亞提爾_仲介服務_廣告代理
15,american_business_services_inc,American Business Services Inc,American Business Services Inc product,0,亞提爾_仲介服務_廣告代理
16,amrep_corporation,AMREP Corporation,AMREP Corporation product,0,亞提爾_仲介服務_廣告代理
17,antevenio_sa,Antevenio SA,Antevenio SA product,1,亞提爾_仲介服務_廣告代理
18,apollo_global_capital_inc,Apollo Global Capital Inc,Apollo Global Capital Inc product,0,亞提爾_仲介服務_廣告代理
19,arkados_group_inc,Arkados Group Inc.,Arkados Group Inc. product,0,亞提爾_仲介服務_廣告代理
20,asatsudk_inc,Asatsu-DK Inc,Asatsu-DK Inc product,0,亞提爾_仲介服務_廣告代理
21,asm_group_sa,ASM Group SA,ASM Group SA product,0,亞提爾_仲介服務_廣告代理
22,athenahealth_inc,"athenahealth, Inc","athenahealth, Inc product",0,亞提爾_仲介服務_廣告代理
23,audioboom_group_plc,Audioboom Group PLC,Audioboom Group PLC product,0,亞提爾_仲介服務_廣告代理
24,autobytel_inc,Autobytel Inc.,Autobytel Inc. product,0,亞提爾_仲介服務_廣告代理
25,auxilio_inc,"Auxilio, Inc.","Auxilio, Inc. product",0,亞提爾_仲介服務_廣告代理
26,bangkok_deccon_pcl,Bangkok Dec-Con PCL,Bangkok Dec-Con PCL product,0,亞提爾_仲介服務_廣告代理
27,bankrate_inc,Bankrate Inc,Bankrate Inc product,0,亞提爾_仲介服務_廣告代理
28,beijing_media_corporation_ltd,Beijing Media Corporation Ltd.,Beijing Media Corporation Ltd. product,0,亞提爾_仲介服務_廣告代理
29,beijing_toomee_media_co_ltd,Beijing TooMee Media Co Ltd,Beijing TooMee Media Co Ltd product,0,亞提爾_仲介服務_廣告代理
30,bellsystem24_holdings_inc,Bellsystem24 Holdings Inc,Bellsystem24 Holdings Inc product,0,亞提爾_仲介服務_廣告代理
31,bengo4com_inc,Bengo4.com Inc,Bengo4.com Inc product,0,亞提爾_仲介服務_廣告代理
32,blumont_group_ltd,Blumont Group Ltd,Blumont Group Ltd product,0,亞提爾_仲介服務_廣告代理
33,branding_china_group_ltd,Branding China Group Ltd,Branding China Group Ltd product,0,亞提爾_仲介服務_廣告代理
34,bsquare_corporation,BSQUARE Corporation,BSQUARE Corporation product,0,亞提爾_仲介服務_廣告代理
35,capelli_sa,Capelli SA,Capelli SA product,0,亞提爾_仲介服務_廣告代理
36,car_charging_group_inc,Car Charging Group Inc,Car Charging Group Inc product,0,亞提爾_仲介服務_廣告代理
37,cardiogenics_holdings_inc,CardioGenics Holdings Inc,CardioGenics Holdings Inc product,0,亞提爾_仲介服務_廣告代理
38,cardtronics_plc,Cardtronics PLC,Cardtronics PLC product,0,亞提爾_仲介服務_廣告代理
39,ccl_industries_inc,CCL Industries Inc.,CCL Industries Inc. product,0,亞提爾_仲介服務_廣告代理
40,cdg_co_ltd,"CDG Co., Ltd.","CDG Co., Ltd. product",0,亞提爾_仲介服務_廣告代理
41,cerespo_co_ltd,"CERESPO CO., LTD.","CERESPO CO., LTD. product",0,亞提爾_仲介服務_廣告代理
42,cheil_worldwide_inc,Cheil Worldwide Inc,Cheil Worldwide Inc product,1,亞提爾_仲介服務_廣告代理
43,china_bull_management_inc,China Bull Management Inc,China Bull Management Inc product,0,亞提爾_仲介服務_廣告代理
44,china_finance_online_co_adr,China Finance Online Co. (ADR),China Finance Online Co. (ADR) product,0,亞提爾_仲介服務_廣告代理
45,china_longyi_group_intl_holding,China Longyi Group Int'l Holding,China Longyi Group Int'l Holding product,0,亞提爾_仲介服務_廣告代理
46,china_minsheng_financial_holdg_corp_ltd,China Minsheng Financial Holdg Corp Ltd,China Minsheng Financial Holdg Corp Ltd product,0,亞提爾_仲介服務_廣告代理
47,china_networks_intl_hldgs_ltd,China Networks Intl. Hldgs. Ltd,China Networks Intl. Hldgs. Ltd product,0,亞提爾_仲介服務_廣告代理
48,china_techfaith_wireless_comm_tech_ltd,China Techfaith Wireless Comm. Tech. Ltd,China Techfaith Wireless Comm. Tech. Ltd product,0,亞提爾_仲介服務_廣告代理
49,chinanet_online_holdings_inc,Chinanet Online Holdings Inc,Chinanet Online Holdings Inc product,0,亞提爾_仲介服務_廣告代理
50,chinlink_international_holdings_ltd,Chinlink International Holdings Ltd,Chinlink International Holdings Ltd product,0,亞提爾_仲介服務_廣告代理
51,chuo_senko_thailand_pcl,Chuo Senko (Thailand) PCL,Chuo Senko (Thailand) PCL product,0,亞提爾_仲介服務_廣告代理
52,cinderella_media_group_ltd,Cinderella Media Group Ltd,Cinderella Media Group Ltd product,0,亞提爾_仲介服務_廣告代理
53,cinedigm_corp,Cinedigm Corp,Cinedigm Corp product,0,亞提爾_仲介服務_廣告代理
54,cmo_pcl,CMO PCL,CMO PCL product,0,亞提爾_仲介服務_廣告代理
55,comscore_inc,"COMSCORE, Inc.","COMSCORE, Inc. product",0,亞提爾_仲介服務_廣告代理
56,costar_group_inc,CoStar Group Inc,CoStar Group Inc product,0,亞提爾_仲介服務_廣告代理
57,costar_technologies_inc,Costar Technologies Inc,Costar Technologies Inc product,0,亞提爾_仲介服務_廣告代理
58,counterpath_corp,"CounterPath, Corp.","CounterPath, Corp. product",0,亞提爾_仲介服務_廣告代理
59,creston_plc,Creston plc,Creston plc product,0,亞提爾_仲介服務_廣告代理
60,criteo_sa_adr,Criteo SA (ADR),Criteo SA (ADR) product,0,亞提爾_仲介服務_廣告代理
61,ctripcom_international_ltd_adr,Ctrip.Com International Ltd (ADR),Ctrip.Com International Ltd (ADR) product,0,亞提爾_仲介服務_廣告代理
62,culture_landmark_investment_ltd,Culture Landmark Investment Ltd,Culture Landmark Investment Ltd product,0,亞提爾_仲介服務_廣告代理
63,da_consortium_inc,D.A. Consortium Inc.,D.A. Consortium Inc. product,0,亞提爾_仲介服務_廣告代理
64,dahe_media_co_ltd,Dahe Media Co. Ltd.,Dahe Media Co. Ltd. product,0,亞提爾_仲介服務_廣告代理
65,data_call_technologies_inc,"Data Call Technologies, Inc.","Data Call Technologies, Inc. product",0,亞提爾_仲介服務_廣告代理
66,debt_resolve_inc,"Debt Resolve, Inc.","Debt Resolve, Inc. product",0,亞提爾_仲介服務_廣告代理
67,dentsu_inc,Dentsu Inc,Dentsu Inc product,0,亞提爾_仲介服務_廣告代理
68,depa_limited,Depa Limited,Depa Limited product,0,亞提爾_仲介服務_廣告代理
69,dhi_group_inc,DHI Group Inc,DHI Group Inc product,0,亞提爾_仲介服務_廣告代理
70,digimatic_group_ltd,Digimatic Group Ltd,Digimatic Group Ltd product,0,亞提爾_仲介服務_廣告代理
71,digital_identity_inc,Digital Identity Inc,Digital Identity Inc product,0,亞提爾_仲介服務_廣告代理
72,dirtt_environmental_solutions_ltd,Dirtt Environmental Solutions Ltd,Dirtt Environmental Solutions Ltd product,0,亞提爾_仲介服務_廣告代理
73,display_art_plc,Display Art Plc,Display Art Plc product,0,亞提爾_仲介服務_廣告代理
74,dmg_entertainment_and_media_co_ltd,DMG Entertainment and Media Co Ltd,DMG Entertainment and Media Co Ltd product,0,亞提爾_仲介服務_廣告代理
75,dong_yi_ri_sheng_home_decoratn_gp_co_ltd,Dong Yi Ri Sheng Home Decoratn Gp Co Ltd,Dong Yi Ri Sheng Home Decoratn Gp Co Ltd product,0,亞提爾_仲介服務_廣告代理
76,drone_aviation_holding_corp,Drone Aviation Holding Corp,Drone Aviation Holding Corp product,0,亞提爾_仲介服務_廣告代理
77,dyandra_media_international_tbk_pt,Dyandra Media International Tbk PT,Dyandra Media International Tbk PT product,0,亞提爾_仲介服務_廣告代理
78,ebay_inc,eBay Inc,eBay Inc product,0,亞提爾_仲介服務_廣告代理
79,eckoh_plc,Eckoh PLC,Eckoh PLC product,0,亞提爾_仲介服務_廣告代理
80,ecoark_holdings_inc,Ecoark Holdings Inc,Ecoark Holdings Inc product,0,亞提爾_仲介服務_廣告代理
81,ecosave_holdings_ltd,Ecosave Holdings Ltd,Ecosave Holdings Ltd product,0,亞提爾_仲介服務_廣告代理
82,edenred_sa,Edenred SA,Edenred SA product,0,亞提爾_仲介服務_廣告代理
83,enernoc_inc,"EnerNOC, Inc.","EnerNOC, Inc. product",0,亞提爾_仲介服務_廣告代理
84,epco_co_ltd,EPCO Co Ltd,EPCO Co Ltd product,0,亞提爾_仲介服務_廣告代理
85,eprint_group_ltd,eprint Group Ltd,eprint Group Ltd product,0,亞提爾_仲介服務_廣告代理
86,eq_inc,EQ Inc,EQ Inc product,0,亞提爾_仲介服務_廣告代理
87,eternal_asia_supply_chain_management_ltd,Eternal Asia Supply Chain Management LTD,Eternal Asia Supply Chain Management LTD product,0,亞提爾_仲介服務_廣告代理
88,everysport_media_group_ab,Everysport Media Group AB,Everysport Media Group AB product,0,亞提爾_仲介服務_廣告代理
89,exlservice_holdings_inc,"ExlService Holdings, Inc.","ExlService Holdings, Inc. product",0,亞提爾_仲介服務_廣告代理
90,ezy_cloud_holding_inc,Ezy Cloud Holding Inc,Ezy Cloud Holding Inc product,0,亞提爾_仲介服務_廣告代理
91,far_east_ddb_public_company_limited,Far East DDB Public Company Limited,Far East DDB Public Company Limited product,1,亞提爾_仲介服務_廣告代理
92,fasteps_co_ltd,Fasteps Co Ltd,Fasteps Co Ltd product,0,亞提爾_仲介服務_廣告代理
93,fiera_milano_spa,Fiera Milano SpA,Fiera Milano SpA product,0,亞提爾_仲介服務_廣告代理
94,flikmedia_inc,FlikMedia Inc,FlikMedia Inc product,0,亞提爾_仲介服務_廣告代理
95,fonu2_inc,FONU2 Inc,FONU2 Inc product,0,亞提爾_仲介服務_廣告代理
96,francotyppostalia_holding_ag,Francotyp-Postalia Holding AG,Francotyp-Postalia Holding AG product,0,亞提爾_仲介服務_廣告代理
97,fuchun_communications_co_ltd,Fuchun Communications Co Ltd,Fuchun Communications Co Ltd product,0,亞提爾_仲介服務_廣告代理
98,fuji_soft_service_bureau_inc,Fuji Soft Service Bureau Inc,Fuji Soft Service Bureau Inc product,0,亞提爾_仲介服務_廣告代理
99,full_speed_inc,Full Speed Inc.,Full Speed Inc. product,0,亞提爾_仲介服務_廣告代理
